,time,lat,lon,ele,x:speed,RSSI,RSSI_err
0,1456683737,43.15729,-70.9768,54.4,0.5,-35.904458598726116,6.913278499477894
1,1456683746,43.157356,-70.97688000000001,65.1,0.0,-42.357142857142854,3.198373311034016
2,1456683883,43.157337,-70.97669,66.4,0.0,-41.95203836930455,9.484436420492004
3,1456683887,43.157314,-70.97681,63.9,1.0,-47.416666666666664,2.3614378858841256
4,1456683891,43.157340000000005,-70.97679000000001,64.0,1.25,-45.61538461538461,1.2733034890189885
5,1456683894,43.157340000000005,-70.97674599999999,62.6,0.5,-56.77777777777778,5.533288710217215
6,1456683898,43.157352,-70.9767,62.3,1.0,-60.0,6.275716324421889
7,1456683901,43.157383,-70.97667,62.4,1.25,-61.22222222222222,2.6573912762447547
8,1456683904,43.15741,-70.97664,62.0,1.0,-62.333333333333336,5.981452814975453
9,1456683907,43.157433000000005,-70.97659,63.4,1.25,-60.2,5.979966555090421
10,1456683911,43.157455,-70.97655999999999,61.1,1.0,-55.25,4.284176311342318
11,1456683914,43.157475,-70.976524,59.3,1.5,-54.111111111111114,3.6345393852880274
12,1456683916,43.1575,-70.97651,59.4,1.25,-55.57142857142857,1.7612611437054218
13,1456683919,43.15752,-70.97646999999999,58.4,1.25,-62.666666666666664,3.091206165165235
14,1456683922,43.157524,-70.97643000000001,59.1,1.25,-61.77777777777778,5.115939748098373
15,1456683925,43.15752,-70.97639000000001,57.7,1.0,-65.7,6.527633568147036
16,1456683929,43.157528000000006,-70.97634000000001,58.1,1.25,-62.833333333333336,4.758034141206732
17,1456683935,43.15755,-70.97627,56.2,1.5,-67.10526315789474,4.767154473357579
18,1456683938,43.15757,-70.97624,53.4,1.25,-66.77777777777777,4.184037863058385
19,1456683941,43.15759,-70.97619,55.0,1.25,-72.9,7.462573282722254
20,1456683944,43.15761,-70.97615,53.7,1.25,-70.77777777777777,2.897423291201177
21,1456683948,43.157627000000005,-70.9761,53.0,1.0,-73.5,0.5
22,1456683951,43.157646,-70.97606,52.9,0.75,-67.0,2.6457513110645907
23,1456683954,43.157646,-70.97601999999999,54.2,1.0,-65.11111111111111,4.35748256691724
24,1456683959,43.157672999999996,-70.975975,54.4,1.0,-70.36363636363636,4.753424168145953
25,1456683964,43.157684,-70.975914,58.0,1.0,-71.0909090909091,3.941724252487054
26,1456683966,43.157707,-70.97587,58.5,1.0,-69.33333333333333,5.3748384988657
27,1456683971,43.157734000000005,-70.97582,56.7,1.0,-72.1875,6.453862699965037
28,1456683979,43.157776,-70.97578,58.8,0.5,-72.4,4.791659420284376
29,1456683986,43.157825,-70.97578399999999,62.9,0.0,-73.45454545454545,7.011207085330487
30,1456683994,43.15785,-70.97573,63.8,1.0,-68.92,2.6820887382784333
31,1456684005,43.15788,-70.975685,62.8,0.75,-74.08571428571429,5.123455466613071
32,1456684008,43.157913,-70.97565999999999,62.5,1.0,-75.77777777777777,4.779069592801459
33,1456684014,43.157932,-70.97563000000001,59.8,0.75,-72.36363636363636,3.8203457071728533
34,1456684017,43.157955,-70.97561,59.7,1.0,-75.28571428571429,3.768830273792263
35,1456684021,43.157986,-70.97558599999999,59.9,1.5,-76.0,3.2914029430219167
36,1456684024,43.158012,-70.97556,60.6,1.25,-74.8,3.7094473981982814
37,1456684028,43.158043,-70.97554000000001,61.3,0.75,-78.33333333333333,4.515405728048022
38,1456684032,43.15807,-70.97551,61.8,1.0,-76.15384615384616,3.1585331027150474
39,1456684035,43.158103999999994,-70.975494,61.5,1.25,-76.66666666666667,4.08248290463863
40,1456684038,43.158134000000004,-70.97547,61.6,1.0,-80.44444444444444,6.130272988503876
41,1456684042,43.158157,-70.97545,60.6,1.5,-74.84615384615384,3.5700927341145516
42,1456684045,43.158184000000006,-70.97543,61.6,1.0,-72.77777777777777,2.199887763691481
43,1456684052,43.15821,-70.97541,60.7,1.0,-70.72727272727273,4.453617714151233
44,1456684055,43.158245,-70.97539499999999,61.2,1.25,-74.88888888888889,6.314787661503477
45,1456684060,43.15827,-70.97536,60.7,1.25,-75.28571428571429,2.762725657973388
46,1456684063,43.1583,-70.97533,60.1,1.0,-75.55555555555556,5.599823630379623
47,1456684066,43.15833,-70.97532,59.9,1.0,-76.55555555555556,4.786813161897336
48,1456684069,43.158359999999995,-70.9753,59.5,1.5,-75.0,0.0
49,1456684072,43.158390000000004,-70.9753,59.0,1.0,-76.0,1.0
50,1456684074,43.158417,-70.97529,57.5,1.5,-81.25,6.6473679001541655
51,1456684079,43.158455,-70.97524,57.2,1.0,-80.38461538461539,3.520018827276169
52,1456684081,43.15848,-70.97522,56.4,1.0,,0.0
53,1456684083,43.1585,-70.9752,56.2,1.0,-78.5,3.2015621187164243
54,1456684086,43.158512,-70.97516,53.4,1.5,-81.5,2.5
55,1456684088,43.15854,-70.97515,52.9,1.5,-69.0,0.0
56,1456684092,43.158573,-70.97513000000001,50.1,1.25,-75.71428571428571,3.614031611621005
57,1456684095,43.1586,-70.9751,49.1,1.25,-72.66666666666667,4.242640687119286
58,1456684098,43.15863,-70.97508,47.5,1.75,-76.375,3.3888604279314896
59,1456684100,43.15867,-70.975075,45.9,1.5,,0.0
60,1456684103,43.1587,-70.97505,46.0,1.25,-77.5,3.082207001484488
61,1456684106,43.158726,-70.97504,46.9,1.25,-76.33333333333333,4.737556801183965
62,1456684110,43.158768,-70.97502,47.1,1.25,-76.07692307692308,4.858957445339618
63,1456684112,43.1588,-70.97501,48.6,1.0,-78.83333333333333,4.913134324327892
64,1456684115,43.158836,-70.97499,48.7,1.25,-72.66666666666667,4.109609335312651
65,1456684118,43.158863000000004,-70.97496,49.1,1.25,-78.5,6.5
66,1456684120,43.158882,-70.97494,49.5,1.25,-77.0,7.64198926981712
67,1456684122,43.1589,-70.97491,50.1,1.25,-75.33333333333333,4.109609335312651
68,1456684125,43.15893,-70.97488,50.7,1.0,-76.66666666666667,3.944053188733078
69,1456684128,43.158955,-70.97484,51.7,1.25,-76.7,4.313930922024599
70,1456684133,43.158970000000004,-70.97476999999999,50.9,0.75,-77.93333333333334,5.078932521264242
71,1456684138,43.158984999999994,-70.97471999999999,51.7,1.25,-76.71428571428571,7.20544012166771
72,1456684143,43.158984999999994,-70.974655,49.6,1.0,-74.73333333333333,2.9769484749021475
73,1456684148,43.15898,-70.97459,50.5,1.0,-79.0,4.0
74,1456684152,43.158970000000004,-70.97453,52.7,1.25,-81.33333333333333,8.259674462242579
75,1456684158,43.15895,-70.97446,57.3,1.25,-77.0,4.180153610876796
76,1456684160,43.158962,-70.97440999999999,53.2,1.0,-80.0,5.0990195135927845
77,1456684163,43.158978000000005,-70.974365,51.3,1.0,-78.2,4.556314299957807
78,1456684166,43.158974,-70.97433000000001,50.8,1.0,-78.22222222222223,4.755763235340599
79,1456684169,43.158984999999994,-70.97428000000001,52.5,1.25,-79.55555555555556,2.671292284482513
80,1456684176,43.159008,-70.97421999999999,53.1,1.0,-79.0909090909091,3.3832352847142526
81,1456684180,43.159009999999995,-70.97416,48.9,0.25,-79.16666666666667,6.189148209209048
82,1456684184,43.159034999999996,-70.9741,50.2,1.5,-76.84615384615384,3.779421075857922
83,1456684189,43.159034999999996,-70.97404,51.7,0.75,-78.9375,5.493959751399713
84,1456684197,43.159023,-70.97397600000001,53.5,0.75,-78.75,4.926543751285817
85,1456684203,43.15903,-70.9739,58.4,0.0,-77.78947368421052,3.9680161736780564
86,1456684208,43.159058,-70.97385,56.8,0.5,-78.8125,3.1665981352233503
87,1456684212,43.15905,-70.973816,62.5,1.0,-78.16666666666667,4.017323597731316
88,1456684216,43.159079999999996,-70.97376,59.2,0.75,-81.15384615384616,5.668348746750935
89,1456684221,43.159096000000005,-70.9737,60.4,0.75,-80.73333333333333,5.105117258420439
90,1456684225,43.159115,-70.97365,58.9,0.5,-77.83333333333333,1.8633899812498247
91,1456684229,43.159115,-70.97358,57.6,1.0,-84.85714285714286,5.111012519999519
92,1456684234,43.159115,-70.97352,59.2,0.75,-79.0,2.0
93,1456684243,43.15915,-70.97345,63.8,1.0,-79.5,5.01663898109747
94,1456684248,43.159164000000004,-70.97338,62.9,1.25,-83.4375,3.9205986468905487
95,1456684252,43.159172,-70.97331,59.6,1.0,-85.25,4.692636075100363
96,1456684256,43.159184,-70.97324,57.9,1.25,-89.75,1.479019945774904
97,1456684260,43.159184,-70.97319,56.3,1.0,-88.83333333333333,3.507927529974865
98,1456684263,43.159172,-70.97315,57.5,1.0,-90.4,2.4979991993593593
99,1456684266,43.15915,-70.973114,58.3,0.75,-91.77777777777777,4.661372658534007
100,1456684288,43.159115,-70.973076,58.0,0.0,-87.39285714285714,3.431360472739282
101,1456684292,43.159126,-70.97303000000001,56.7,0.75,-85.16666666666667,1.3437096247164246
102,1456684296,43.15916,-70.97299,57.8,1.0,-87.08333333333333,4.34853104188325
103,1456684299,43.159187,-70.972984,57.1,1.25,-87.6,4.673328578219168
104,1456684302,43.159214,-70.97296,57.9,1.25,-85.0,6.018490028422596
105,1456684306,43.15925,-70.97296,58.6,1.25,-84.66666666666667,3.590109871423003
106,1456684309,43.159283,-70.97296999999999,57.7,1.0,-82.6,1.624807680927192
107,1456684312,43.159306,-70.97294000000001,56.9,1.0,-88.0,3.521363372331802
108,1456684318,43.159344,-70.97294000000001,55.6,1.0,-86.05263157894737,4.310008965804894
109,1456684323,43.159397,-70.97292,56.0,1.0,-89.46666666666667,4.112852484049914
110,1456684326,43.159424,-70.97291,56.7,1.0,-87.9,2.7367864366808017
111,1456684329,43.159454,-70.97288499999999,57.1,1.0,-89.66666666666667,3.366501646120693
112,1456684333,43.1595,-70.97286,57.9,1.0,-89.5,2.7233557730613653
113,1456684336,43.159527000000004,-70.97285,58.6,1.25,-89.2,2.785677655436824
114,1456684339,43.15956,-70.97285,59.3,1.0,-89.55555555555556,3.235604395235786
115,1456684343,43.1596,-70.97285,60.2,1.25,-86.61538461538461,3.5418044409911804
116,1456684347,43.159634000000004,-70.97285,60.7,1.0,-86.91666666666667,3.522743564641375
117,1456684350,43.159664,-70.97284,61.3,1.0,-85.22222222222223,1.7497795275581804
118,1456684353,43.159695,-70.97284,61.4,1.0,-90.8,2.181742422927143
119,1456684359,43.159737,-70.97282,61.4,1.0,-87.5,3.0595932917809696
120,1456684367,43.159729999999996,-70.97279,58.4,0.0,-92.23809523809524,4.116225292376058
121,1456684407,43.15972,-70.972755,55.3,0.75,-83.17391304347827,3.8606394369331842
122,1456684411,43.159714,-70.97272,54.4,1.0,-81.0,4.301162633521313
123,1456684416,43.159737,-70.97269,54.5,0.5,-82.53333333333333,7.597075460699041
124,1456684421,43.159766999999995,-70.97268000000001,55.4,0.75,-90.6875,3.7867986149252775
125,1456684439,43.159782,-70.97269399999999,59.1,0.0,-87.33333333333333,3.6397614273277927
126,1456684478,43.159775,-70.97266,58.7,0.75,-91.39506172839506,3.660530260264633
127,1456684500,43.159782,-70.97261999999999,56.2,1.0,-87.81632653061224,4.466078357281448
128,1456684502,43.159794,-70.97258000000001,54.9,1.0,,0.0
129,1456684506,43.159805,-70.97251999999999,55.6,1.25,-89.33333333333333,1.247219128924647
130,1456684508,43.159813,-70.97248,55.6,1.25,-92.6,3.0066592756745814
131,1456684512,43.15984,-70.97245,55.2,1.25,-93.42857142857143,3.0169588688489823
132,1456684514,43.159843,-70.97241,56.7,1.5,-96.0,1.0
133,1456684517,43.159863,-70.97237,55.9,1.25,-90.0,0.0
134,1456684519,43.15987,-70.972336,56.2,1.25,-94.0,2.70801280154532
135,1456684523,43.159896999999994,-70.9723,56.4,1.0,-90.66666666666667,1.699673171197595
136,1456684527,43.159909999999996,-70.97225,55.3,1.0,-96.0,1.0
137,1456684530,43.159929999999996,-70.97222,54.3,1.0,-95.9,1.6999999999999997
138,1456684533,43.15995,-70.972176,56.0,1.0,-92.0,0.0
